======================================================================
Phase 1: CMA-ES Optimization (Seed: 650)
======================================================================
CMA Gen 1010: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1020: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1030: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1040: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1050: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1060: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1070: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1080: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1090: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1100: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1110: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1120: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1130: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1140: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1150: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1160: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1170: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1180: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1190: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1200: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1210: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1220: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1230: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1240: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1250: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1260: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1270: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1280: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1290: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1300: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1310: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1320: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1330: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1340: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1350: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1360: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1370: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1380: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1390: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1400: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1410: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1420: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1430: Loss=1.135662e+03 (Deg=6.765361e+01, PenRe=0.00e+00, PenIm=5.34e+01)
